"S. No","Template Name","Template DLT ID","Header","Communication Type","Template Content","Template Creator","Template Created on","Template Status","Template Registered On Airtel (Y/N)","Template State"
"1","processedTxn_v3","'1007583925205045269","PYSWAP","Service Implicit","Dear {#var#} Amt Rs {#var#} transfer to account {#var#} at retailer {#var#} on {#var#} processed. Download receipt  {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"2","RecieveFund_v2	","'1007014994399316736","PYSWAP","Service Implicit","Dear {#var#} Amount Rs {#var#} successfully received at Sunset form {#var#} on {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"3","Billrefund_v2","'1007285892545092516","PYSWAP","Service Implicit","Dear {#var#}, Bill of CA Number: {#var#} has been failed. Refund has been credited in your Wallet. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"4","BeneDeleteSuccess_v2","'1007485169750810040","PYSWAP","Service Implicit","Dear {#var#}, your request to delete account number {#var#} is successful. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"5","MatmActive_v2","'1007830677925383896","PYSWAP","Service Implicit","Congrats! {#var#}, Your MATM Account has been activated. Now You can avail MATM services. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"6","SuccessTxnApi_v2","'1007842376440065904","PYSWAP","Service Implicit","Dear {#var#} Amt Rs {#var#} transfer to account {#var#} at {#var#} on {#var#} processed. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"7","Bbpsrefund_v2","'1007169902264414116","PYSWAP","Service Implicit","Dear {#var#}, Bill of CA Number: {#var#} has been failed. Refund has been credited in your BBPS Wallet. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"8","DmtTransaction_v2","'1007809724181850323","PYSWAP","Service Implicit","Dear {#var#}. Your request to transfer Rs. {#var#} to beneficiary {#var#} is {#var#}. IMPS Ref Number id {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"9","AepsActivate_v2","'1007399902106235046","PYSWAP","Service Implicit","Congrats! AEPS is activated. Your username is {#var#} and your password is same as portal password. Download the APP from play store. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"10","ForgotPassword_v2","'1007770351355652145","PYSWAP","Service Implicit","Welcome  {#var#}, Do not share your password with anyone. Your new password is {#var#}. Thank You for connecting with us. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"11","RemitterRegistration_v1","'1007739381944748962","PYSWAP","Service Implicit","Dear {#var#}, your mobile number is successfully register. {#var#} is your MPIN for future use. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"12","mobile_verification","'1007736734752882127","PYSWAP","Service Implicit","Dear  {#var#}, Your  {#var#} Verification otp is:  {#var#} . Do not share anyone.  Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"13","remitterPin_v2","'1007745262467496327","PYSWAP","Service Implicit","Dear {#var#}, you have been successfully registered with Sunset.Your PIN is {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"14","AccVerify_v2","'1007021137096952783","PYSWAP","Service Implicit","Dear {#var#}, your verification for account {#var#} is successful we have received bene name as {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
"15","ResendremitterPin_v1","'1007004919867171153","PYSWAP","Service Implicit","Dear {#var#}, your MPIN for future use is {#var#}. Powered by PAYSWAP","airtel.com","28/10/2022","REGISTERED","Y","-"
